frame ID,frame name,source,destination,format,send method,periods,startbit,length,signal name,offset,factor,unit,minimum,maximum,phy min,phy max,value type,init value,note
,,,,,,,8,8,Replayer_ASCII_CODE2,0,1,,0,255,0,255,Unsigned,0,
,,,,,,,16,8,Replayer_ASCII_CODE3,0,1,,0,255,0,255,Unsigned,0,
,,,,,,,24,8,Replayer_ASCII_CODE4,0,1,,0,255,0,255,Unsigned,0,
,,,,,,,32,8,Replayer_ASCII_CODE5,0,1,,0,255,0,255,Unsigned,0,
,,,,,,,40,8,Replayer_ASCII_CODE6,0,1,,0,255,0,255,Unsigned,0,
,,,,,,,48,8,Replayer_ASCII_CODE7,0,1,,0,255,0,255,Unsigned,0,
,,,,,,,56,8,Replayer_ASCII_CODE8,0,1,,0,255,0,255,Unsigned,0,
0x01A,Replayer_msg2,Replayer,/,Intel,500ms,/,0,16,VolCh1_back_mv,0,1,,0,65535,0,65535,Unsigned,0,电压通道1数值设置反馈
,,,,,,,16,16,VolCh2_back_mv,0,1,,0,65535,0,65535,Unsigned,0,电压通道2数值设置反馈
,,,,,,,32,16,VolCh3_back_mv,0,1,,0,65535,0,65535,Unsigned,0,电压通道3数值设置反馈
,,,,,,,48,16,VolCh4_back_mv,0,1,,0,65535,0,65535,Unsigned,0,电压通道4数值设置反馈
0x01B,Replayer_msg3,Replayer,/,Intel,500ms,/,0,16,VolCh5_back_mv,0,1,,0,65535,0,65535,Unsigned,0,电压通道5数值设置反馈
,,,,,,,16,16,VolCh6_back_mv,0,1,,0,65535,0,65535,Unsigned,0,电压通道6数值设置反馈
,,,,,,,32,16,VolCh7_back_mv,0,1,,0,65535,0,65535,Unsigned,0,电压通道7数值设置反馈
,,,,,,,48,16,VolCh8_back_mv,0,1,,0,65535,0,65535,Unsigned,0,电压通道8数值设置反馈
0x01C,Replayer_msg4,Replayer,/,Intel,500ms,/,0,16,VolCh9_back_mv,0,1,,0,65535,0,65535,Unsigned,0,电压通道9数值设置反馈
,,,,,,,16,16,VolCh10_back_mv,0,1,,0,65535,0,65535,Unsigned,0,电压通道10数值设置反馈
,,,,,,,32,16,VolCh11_back_mv,0,1,,0,65535,0,65535,Unsigned,0,电压通道11数值设置反馈
,,,,,,,48,16,VolCh12_back_mv,0,1,,0,65535,0,65535,Unsigned,0,电压通道12数值设置反馈
0x01D,Replayer_msg5,Replayer,/,Intel,500ms,/,0,16,VolCh13_back_mv,0,1,,0,65535,0,65535,Unsigned,0,电压通道13数值设置反馈
,,,,,,,16,8,VolWave_back,0,1,,0,255,0,255,Unsigned,0,"电压波形设置反馈；
0-正弦波形；
1-方波波形；"
0x1E,Replayer_msg6,Replayer,/,Intel,500ms,/,0,8,TempCh1_back,0,1,,0,255,0,255,Signed,0,"温度值设置反馈：
0-1K电阻；
1-10K电阻；
2-100K电阻"
,,,,,,,8,8,TempCh2_back,0,1,,0,255,0,255,Signed,0,
,,,,,,,16,8,TempCh3_back,0,1,,0,255,0,255,Signed,0,
,,,,,,,24,8,TempCh4_back,0,1,,0,255,0,255,Signed,0,
,,,,,,,32,8,TempCh5_back,0,1,,0,255,0,255,Signed,0,
